id,spd,len,dec,rd,dt,val
307,85,6.7,sq2s1bjfgc,v=T;l=6.7;s=85;i=307,9/2/2025,T
308,228,7.6,ttUaMOUr7G,l=7.6;s=228;v=F;i=308,12/26/2025,F
309,214,6.9,XoCdBZCNmt,s=214;v=F;l=6.9;i=309,12/19/2025,F
310,124,10.2,XSwThPoVxJ,v=F;s=124;l=10.2;i=310,11/10/2025,F
311,37,9,7nVHUg35RY,i=311;l=9.0;s=37;v=T,11/2/2025,T
312,124,7.5,w17KZUDuvp,i=312;l=7.5;v=F;s=124,7/12/2025,F
313,47,5.8,IQB6euKSdw,s=47;v=F;l=5.8;i=313,12/21/2025,F
314,41,10.1,jbmEhS1Goz,i=314;l=10.1;v=F;s=41,8/10/2025,F
315,104,8.6,VKlFfvrKP8,i=315;l=8.6;v=F;s=104,12/18/2025,F
316,33,7.9,yXaoasJoFL,i=316;s=33;l=7.9;v=F,7/21/2025,F
317,187,9.9,ickAU87Xpa,s=187;i=317;l=9.9;v=F,8/16/2025,F
318,134,6.9,b5zxm40JXQ,i=318;l=6.9;s=134;v=F,8/13/2025,F
319,81,7.8,XwOFZ7hEBc,l=7.8;v=F;i=319;s=81,8/9/2025,F
320,66,8.3,IPNwVyzPh7,i=320;l=8.3;s=66;v=F,9/9/2025,F
321,204,6.4,jLS7nT2njb,v=T;i=321;l=6.4;s=204,11/1/2025,T
322,145,9.2,b6ROSQDsyH,l=9.2;s=145;v=F;i=322,10/19/2025,F
323,65,6.2,mCvfbMDIPJ,i=323;l=6.2;s=65;v=F,11/20/2025,F
324,66,6,rfk9Tn9onh,s=66;v=T;i=324;l=6.0,11/4/2025,T
325,226,5.8,K2hY7hcRjZ,s=226;l=5.8;v=F;i=325,8/23/2025,F
326,113,6.7,vjZn5dk8tu,i=326;s=113;v=T;l=6.7,7/7/2025,T
327,187,6.7,kXuVOC8tFT,l=6.7;i=327;v=F;s=187,10/3/2025,F
328,86,9,OOKizgSB73,i=328;v=T;s=86;l=9.0,6/27/2025,T
329,250,6.7,GyLYf3vNAL,s=250;v=T;i=329;l=6.7,11/10/2025,T
330,10,10.7,D64FYFRbQ0,l=10.7;i=330;v=T;s=10,9/18/2025,T
331,160,6.9,75g2ihsSfq,v=T;l=6.9;s=160;i=331,9/16/2025,T
332,151,10.8,UwcyRklQQo,i=332;v=T;l=10.8;s=151,11/13/2025,T
333,110,10.4,LZxVYcsrD0,i=333;v=T;l=10.4;s=110,8/19/2025,T
334,22,10.3,6WQFU3fAeO,l=10.3;v=T;s=22;i=334,6/27/2025,T
335,203,6.7,xBr48qwCv3,i=335;s=203;l=6.7;v=T,12/27/2025,T
336,30,6.6,k3MWIlUIJp,l=6.6;s=30;i=336;v=T,11/26/2025,T
337,54,5.6,7bVyfRJ7vv,v=F;l=5.6;s=54;i=337,12/9/2025,F
338,206,9.5,iIEqHIgwFM,s=206;l=9.5;i=338;v=T,10/3/2025,T
339,1,10.5,RN0wHd1eU0,s=1;i=339;v=T;l=10.5,9/6/2025,T
340,86,9.5,1N3GzirKMv,s=86;v=T;i=340;l=9.5,12/24/2025,T
341,214,10.7,AYJZ4qkkFQ,s=214;v=F;l=10.7;i=341,12/12/2025,F
342,8,5.5,zZpU7PLmF9,l=5.5;v=F;i=342;s=8,7/4/2025,F
343,200,6.7,NGXMoVlUQN,v=F;s=200;l=6.7;i=343,8/17/2025,F
344,171,9.6,QALEw8z7AI,s=171;i=344;l=9.6;v=F,8/3/2025,F
345,2,10.8,LI3nDmfKHP,l=10.8;s=2;i=345;v=T,7/27/2025,T
346,131,7.3,3jafCKSEeH,l=7.3;s=131;v=F;i=346,11/28/2025,F
347,46,6.9,JvKknrjx5k,s=46;i=347;l=6.9;v=F,10/8/2025,F
348,12,10.3,myIXhKP4j9,s=12;i=348;l=10.3;v=F,10/4/2025,F
349,144,7.5,tQHh5PPTWg,i=349;l=7.5;v=F;s=144,7/14/2025,
350,59,9.1,IEi6rlMMo8,l=9.1;s=59;i=350;v=T,7/8/2025,T
351,39,6.5,sWGGDqx54Q,i=351;s=39;v=F;l=6.5,8/19/2025,F
352,154,8.6,ZcWZni26aO,l=8.6;s=154;i=352;v=T,8/16/2025,T
353,79,10.5,6znP0LKfCD,s=79;v=F;l=10.5;i=353,8/28/2025,F
354,109,5.6,w9tMS24VVb,l=5.6;s=109;v=F;i=354,12/22/2025,F
355,92,7.2,u5um4CoXJf,l=7.2;i=355;v=F;s=92,9/6/2025,F
356,196,9.2,4euPrhAX1t,v=F;l=9.2;i=356;s=196,6/25/2025,F
357,198,8.8,DIBQ5OYHMq,v=F;i=357;l=8.8;s=198,12/6/2025,F
358,228,7.6,TdyihriAkS,i=358;l=7.6;v=F;s=228,9/14/2025,F
359,54,7.9,mnwhDv9259,s=54;l=7.9;v=F;i=359,8/17/2025,F
360,123,5.9,J0AU3R2orP,l=5.9;v=T;s=123;i=360,12/24/2025,T
361,121,7.6,3iZsgfe571,l=7.6;v=F;s=121;i=361,8/24/2025,F
362,161,8.6,8EyHeJziSX,i=362;l=8.6;v=F;s=161,9/12/2025,F
363,215,5.7,Q0Ja7mQTQX,i=363;l=5.7;v=T;s=215,9/24/2025,T
364,123,8.8,Auf6eJsNTu,v=T;l=8.8;s=123;i=364,12/13/2025,T
365,123,5.9,7q0xTXQ2bD,i=365;l=5.9;v=F;s=123,11/16/2025,F
366,125,5.9,VmwyUCGtkK,v=T;l=5.9;s=125;i=366,7/9/2025,T
367,2,10.8,BjdaEVcX5A,i=367;l=10.8;s=2;v=F,11/3/2025,F
368,74,6.9,IE4CD1nw7U,i=368;v=T;l=6.9;s=74,12/24/2025,T
369,223,5.6,S3vU4LSzRb,s=223;v=F;l=5.6;i=369,11/12/2025,F
370,185,8.6,BSkks5WUXJ,i=370;l=8.6;v=F;s=185,7/1/2025,F
371,44,7,wsX9qLzemN,v=T;l=7.0;s=44;i=371,11/7/2025,T
372,185,7.7,XXJHimMy0r,s=185;v=F;l=7.7;i=372,6/30/2025,F
373,21,8.8,d79vvAGNVr,i=373;v=T;l=8.8;s=21,10/14/2025,T
374,45,9.3,YUyi9SVkL2,v=F;l=9.3;i=374;s=45,10/28/2025,F
375,97,6.9,D9LqgKA5e0,v=F;s=97;l=6.9;i=375,10/1/2025,F
376,224,10.8,ivKzhL6UgO,s=224;v=F;l=10.8;i=376,7/29/2025,F
377,73,8.6,jgevH6bfFG,l=8.6;v=F;s=73;i=377,12/21/2025,F
378,197,6.4,ljcP4CrNI5,i=378;l=6.4;v=T;s=197,9/5/2025,T
379,44,9.4,BFP2pRpcLb,l=9.4;v=F;s=44;i=379,7/23/2025,F
380,159,8.4,CWTNdJENrw,s=159;i=380;v=T;l=8.4,8/19/2025,T
381,75,5.8,5JI60OZ8q6,v=T;s=75;l=5.8;i=381,7/9/2025,T
382,3,10.6,vtb5hiDE3Q,i=382;s=3;l=10.6;v=T,11/6/2025,T
383,150,8.6,M5Ooj1JFAW,l=8.6;s=150;i=383;v=T,11/18/2025,T
384,131,7.7,fyUmaRPBAE,s=131;i=384;l=7.7;v=F,9/19/2025,F
385,8,8.4,hibaflTnPa,s=8;v=T;i=385;l=8.4,11/12/2025,T
386,63,6,sgjG4zOwou,v=F;i=386;l=6.0;s=63,12/18/2025,F
387,193,7.7,jdYAqqYH0n,i=387;s=193;l=7.7;v=F,9/19/2025,F
388,106,9.3,G23gz1ceF3,l=9.3;s=106;i=388;v=F,1/3/2026,F
389,1,6.1,XSuu01pEyJ,l=6.1;i=389;s=1;v=F,9/18/2025,F
390,191,7.4,9QPNqUkcUt,i=390;v=F;s=191;l=7.4,7/10/2025,F
391,92,7.2,eV38cmZUJ0,v=F;s=92;l=7.2;i=391,8/8/2025,F
392,84,8.3,mbJ4mSxFQP,s=84;l=8.3;i=392;v=T,8/24/2025,T
393,175,7.1,a5fZfYBNEk,l=7.1;s=175;v=T;i=393,9/6/2025,T
394,100,5.5,vnkZSLke7a,l=5.5;i=394;s=100;v=T,10/10/2025,T
395,107,,usgX8xPFFF,v=T;l=9.8;i=395;s=107,1/5/2026,T
396,132,9.1,CX4w0HJfHp,l=9.1;i=396;s=132;v=F,9/20/2025,F
397,153,6.1,1J6A5ZEhfR,v=T;l=6.1;i=397;s=153,7/3/2025,
398,250,8.1,OJhM6AAgbc,l=8.1;s=250;v=T;i=398,10/26/2025,T
399,142,6,dEZjVXUIad,s=142;i=399;l=6.0;v=F,8/20/2025,F
400,243,,WJiuwxZqTZ,i=400;s=243;l=7.1;v=T,12/13/2025,T
401,51,9.1,ZGYuKYpzrH,v=F;l=9.1;s=51;i=401,8/9/2025,F
402,191,6.2,M76UjgYFC1,i=402;s=191;v=T;l=6.2,9/22/2025,T
403,33,7.9,qaKJ5wgKoT,i=403;s=33;l=7.9;v=F,7/7/2025,F
404,215,8.5,pMKj5aMGbe,v=T;l=8.5;i=404;s=215,11/14/2025,T
405,177,5.7,hEZW3K7E0f,v=F;l=5.7;i=405;s=177,6/30/2025,F
406,134,6.4,qpLz3ZqxgE,i=406;s=134;v=T;l=6.4,10/12/2025,T
407,39,6,pgyQlMzFxi,l=6.0;v=T;i=407;s=39,7/17/2025,T
408,189,8.7,ne8g6llrCA,l=8.7;i=408;v=F;s=189,11/18/2025,F
409,208,6.3,Ch1vQJhXm3,s=208;v=T;l=6.3;i=409,7/21/2025,T
410,122,10.1,0zVlttxxgo,l=10.1;s=122;i=410;v=F,6/25/2025,F
411,129,10.5,Ecq7YBB4VT,v=F;s=129;l=10.5;i=411,7/19/2025,F
412,225,7.8,ItrxDBRDUL,v=F;l=7.8;i=412;s=225,12/15/2025,F
413,88,8.9,8tFvN9qyG6,l=8.9;v=F;i=413;s=88,8/28/2025,F
414,197,9,sfW1MIKElL,l=9.0;v=F;i=414;s=197,8/7/2025,F
415,235,8.1,DnvWMC1VNy,i=415;l=8.1;s=235;v=F,9/25/2025,F
416,235,9.9,dt9FNDnxsf,l=9.9;v=F;s=235;i=416,8/23/2025,F
417,30,7.6,DF4TFvBeSs,v=T;l=7.6;s=30;i=417,9/20/2025,T
418,61,9.5,hndQ0yttaP,l=9.5;v=T;s=61;i=418,6/28/2025,T
419,237,7.8,lbBuEqJH9B,i=419;l=7.8;v=F;s=237,9/21/2025,F
420,35,6.4,lJhYoZT2By,v=T;s=35;i=420;l=6.4,8/19/2025,T
421,81,10.6,U5rjJLFHF2,v=F;i=421;s=81;l=10.6,7/2/2025,F
422,134,8,97mOk1mpc2,s=134;i=422;v=F;l=8.0,8/31/2025,F
423,206,5.6,1IfLpvMUHP,s=206;i=423;v=T;l=5.6,9/13/2025,T
424,213,10.9,p97yAg1aah,s=213;l=10.9;i=424;v=T,11/14/2025,T
425,188,8.3,SHB5l113g8,v=F;l=8.3;s=188;i=425,7/31/2025,F
426,9,5.7,AzDSngZXvR,s=9;l=5.7;i=426;v=F,12/7/2025,F
427,186,6.8,xl7nIeHbZJ,l=6.8;i=427;s=186;v=T,11/16/2025,T
428,99,7.2,2epw4V7WJp,s=99;v=T;l=7.2;i=428,7/10/2025,T
429,127,7.1,b3i7se8nu7,s=127;l=7.1;v=T;i=429,7/2/2025,T
430,215,6.9,TmJJAdmX2z,i=430;v=F;l=6.9;s=215,12/12/2025,F
431,176,9.8,HlPTViz3cp,v=T;l=9.8;i=431;s=176,8/18/2025,T
432,52,9.5,E3txARBu47,v=T;i=432;l=9.5;s=52,10/10/2025,T
433,233,8.5,aC2POmNenG,v=F;l=8.5;s=233;i=433,10/30/2025,
434,96,9.1,9vg3V5VGzY,v=T;s=96;l=9.1;i=434,9/9/2025,T
435,131,8.2,FaZK0M0Zw9,i=435;v=T;l=8.2;s=131,10/2/2025,T
436,76,8.9,gen071eFfz,i=436;s=76;l=8.9;v=T,12/6/2025,T
437,245,8.1,ohc7iPOBDR,l=8.1;v=F;s=245;i=437,10/29/2025,F
438,72,10.6,f7mXyALIsY,v=T;i=438;s=72;l=10.6,7/27/2025,T
439,183,10.4,l6YjLoWitu,i=439;s=183;l=10.4;v=F,1/4/2026,F
440,32,6.5,ywyLSNI5A4,s=32;v=F;l=6.5;i=440,10/5/2025,F
441,187,10.3,AgUqUtvft1,s=187;i=441;v=F;l=10.3,9/28/2025,F
442,158,7.5,15iSguNdff,i=442;v=T;s=158;l=7.5,12/21/2025,T
443,7,7.2,sV1HiIZoTV,s=7;i=443;l=7.2;v=F,9/29/2025,F
444,117,7.2,TS7EVc1iHd,s=117;i=444;v=T;l=7.2,12/15/2025,T
445,182,10.1,JyO6X4Vxq1,l=10.1;v=F;s=182;i=445,9/18/2025,F
446,209,9.6,5jnWZiEsir,s=209;v=F;i=446;l=9.6,7/28/2025,F
447,23,7.1,ZtZUp7zYrB,s=23;v=T;l=7.1;i=447,11/19/2025,
448,202,7.9,V3mABOHrkU,l=7.9;i=448;v=F;s=202,10/21/2025,F
449,182,7.9,fbSJSbW2QC,i=449;v=F;s=182;l=7.9,6/21/2025,F
450,188,10.5,hX4u6LXzaH,v=F;s=188;l=10.5;i=450,11/15/2025,F
451,152,5.8,BVsSQHnUyc,l=5.8;v=F;i=451;s=152,6/27/2025,F
452,128,8.2,kUE98zb4LG,v=F;l=8.2;i=452;s=128,8/15/2025,F
453,107,10.9,Z9FnJPTi8Z,l=10.9;v=F;s=107;i=453,11/7/2025,F
454,117,8.1,5Z7SdXOMf2,v=F;s=117;i=454;l=8.1,11/11/2025,F
455,93,8.8,XXHfRFzSLs,i=455;s=93;l=8.8;v=F,11/5/2025,F
456,94,5.6,Pqe7GiuNjA,l=5.6;v=F;s=94;i=456,9/20/2025,F
457,203,9.5,E0V8W0VZHC,v=T;s=203;i=457;l=9.5,6/22/2025,T
458,57,7.6,HEK21dAFhO,l=7.6;i=458;s=57;v=F,10/1/2025,F
459,90,9.1,9OZExgUx3W,v=T;i=459;s=90;l=9.1,10/17/2025,T
460,79,9.9,fVmbgiY4lF,v=F;i=460;s=79;l=9.9,9/15/2025,F
461,14,6.8,SENH1PnHj2,i=461;s=14;l=6.8;v=T,11/11/2025,T
462,141,10.2,T8iUgYr5eE,s=141;v=F;l=10.2;i=462,7/21/2025,F
463,152,8,6ILyligShn,l=8.0;v=T;i=463;s=152,11/10/2025,T
464,162,6.7,ldvFX1HXMy,v=F;i=464;s=162;l=6.7,9/8/2025,F
465,235,9.2,I4cK4kpQ2U,v=F;s=235;i=465;l=9.2,7/14/2025,F
466,49,7.7,YsDrk7ouTM,l=7.7;s=49;i=466;v=T,12/1/2025,T
467,211,6.3,Tf4qbBGiAJ,s=211;l=6.3;i=467;v=F,7/22/2025,F
468,88,7,Vl2cTmksEy,l=7.0;i=468;v=T;s=88,10/1/2025,T
469,111,8.7,7SSFgaDhvz,s=111;v=T;i=469;l=8.7,10/16/2025,T
470,47,6.6,SFlk84V5hR,i=470;s=47;l=6.6;v=F,10/28/2025,F
471,186,7.7,uKlWPEi72E,s=186;l=7.7;i=471;v=F,11/3/2025,F
472,8,5.6,b62PwZIDcm,l=5.6;v=F;s=8;i=472,8/22/2025,F
473,69,7,SY6LsiM51J,v=F;i=473;l=7.0;s=69,10/3/2025,F
474,163,9.5,sX4WKad4wk,s=163;i=474;l=9.5;v=F,10/31/2025,F
475,168,8.1,6IJ3nt21Kp,i=475;l=8.1;s=168;v=F,11/3/2025,F
476,246,6.6,XBoENdtJz9,i=476;v=F;s=246;l=6.6,11/15/2025,F
477,91,9.8,BRB0pcBc6o,i=477;s=91;l=9.8;v=T,12/25/2025,T
478,226,10,vXzL9pGdwo,v=T;l=10.0;s=226;i=478,6/24/2025,T
479,60,7.2,0OfMUwGCc3,v=T;i=479;s=60;l=7.2,12/29/2025,T
480,83,6.7,Bvx9vIRFmH,v=T;s=83;l=6.7;i=480,7/27/2025,T
481,77,6.3,c8bkVkZbgJ,l=6.3;v=T;i=481;s=77,12/6/2025,T
482,189,8.6,fEJ0UpCHcB,v=F;i=482;l=8.6;s=189,8/14/2025,F
483,101,10.2,7V2vdjoggA,v=T;i=483;l=10.2;s=101,10/22/2025,T
484,143,6.2,3ngDZX2Oxv,l=6.2;s=143;i=484;v=F,10/13/2025,F
485,11,7.9,sakpmBvZJN,i=485;v=T;s=11;l=7.9,9/8/2025,T
486,178,7,bpe3P23w3Q,s=178;i=486;l=7.0;v=T,9/18/2025,T
487,124,5.9,cmI0m2UmQq,s=124;v=T;i=487;l=5.9,11/4/2025,T
488,151,8.8,TSVuMDBP1D,i=488;s=151;v=F;l=8.8,7/18/2025,F
489,28,7.2,zk5K69I6yk,l=7.2;i=489;s=28;v=T,8/11/2025,T
490,30,9,7mnyx6zeHj,l=9.0;i=490;s=30;v=T,11/17/2025,T
491,73,6.6,aYCbziFbzO,v=T;s=73;i=491;l=6.6,12/2/2025,T
492,59,8.4,iNhDXwwQVh,i=492;v=F;s=59;l=8.4,7/20/2025,F
493,97,9.7,dPWajrfZvW,l=9.7;s=97;v=T;i=493,7/21/2025,T
494,90,10.3,9.36E+16,i=494;v=F;s=90;l=10.3,10/19/2025,F
495,115,8.8,POCjkGZZHa,v=F;s=115;l=8.8;i=495,12/15/2025,F
496,248,6.6,oXyTIXouG5,l=6.6;s=248;i=496;v=F,7/4/2025,F
497,182,8.4,pwxWpn9Kpc,v=F;s=182;i=497;l=8.4,11/12/2025,F
498,81,5.7,quiTjq1J0n,s=81;v=T;i=498;l=5.7,7/14/2025,T
499,175,6.1,ELbn1PDHiM,s=175;v=F;i=499;l=6.1,11/14/2025,F
