id,val,len,dec,dt,spd,rd
807,F,10.9,Jg9Zr2EFTx,10/31/2025,186,s=186;l=10.9;v=F;i=807
808,T,6.2,z7ZOOATzEN,12/7/2025,134,s=134;i=808;v=T;l=6.2
809,F,9,yVBKAXqSUn,8/6/2025,194,s=194;l=9.0;v=F;i=809
810,T,5.7,IenvhWU6zS,8/5/2025,162,v=T;i=810;s=162;l=5.7
811,F,7.2,4XvvSip4Fs,8/15/2025,34,s=34;i=811;l=7.2;v=F
812,T,9.5,KZjrmQUnkJ,11/21/2025,65,v=T;s=65;l=9.5;i=812
813,F,6.4,5JnEjm30x2,8/24/2025,111,i=813;v=F;s=111;l=6.4
814,F,6.7,jeKZUnrrXa,10/11/2025,116,v=F;l=6.7;i=814;s=116
815,F,9.7,FXJYpA9ljf,9/27/2025,156,v=F;l=9.7;s=156;i=815
816,T,8.1,Prvi3zmeMY,9/20/2025,211,i=816;s=211;v=T;l=8.1
817,T,6.8,MOru2Ppm7R,10/25/2025,121,s=121;l=6.8;v=T;i=817
818,F,8.5,j13zxKy1SN,7/14/2025,142,s=142;v=F;l=8.5;i=818
819,F,7.5,LtdT6OacKx,11/13/2025,130,v=F;l=7.5;s=130;i=819
820,T,7.7,HtoeQdO7d0,10/30/2025,1,v=T;i=820;l=7.7;s=1
821,T,10.3,pilIw36B4V,8/11/2025,149,l=10.3;i=821;v=T;s=149
822,F,5.6,O0bkJfBtby,10/22/2025,11,i=822;v=F;s=11;l=5.6
823,T,8.4,drp41Sa7QO,11/24/2025,61,i=823;l=8.4;v=T;s=61
824,F,6.3,8nTlKFGhVT,1/5/2026,188,v=F;s=188;l=6.3;i=824
825,T,9.9,LsjkbE8Dx1,10/2/2025,4,l=9.9;v=T;i=825;s=4
826,F,10.5,oLVgHL65XH,7/20/2025,119,v=F;l=10.5;s=119;i=826
827,T,6.4,NDR8WhI02U,10/6/2025,53,i=827;s=53;v=T;l=6.4
828,F,9.8,oNplwJxYJl,10/4/2025,23,s=23;v=F;l=9.8;i=828
829,F,5.6,7hyyCNQ5mh,1/3/2026,145,l=5.6;s=145;i=829;v=F
830,F,7.5,kyrRLcGYGI,8/26/2025,247,l=7.5;i=830;v=F;s=247
831,F,5.5,VL5dTbEnNT,10/1/2025,137,s=137;l=5.5;v=F;i=831
832,F,10.4,AJrIzwGONe,10/19/2025,75,i=832;v=F;s=75;l=10.4
833,F,5.6,e2scdzKn5w,7/26/2025,149,i=833;l=5.6;v=F;s=149
834,T,8.8,DWeyFPjdPv,8/30/2025,189,l=8.8;s=189;i=834;v=T
835,F,7,pGO7A47tq5,8/14/2025,17,l=7.0;s=17;v=F;i=835
836,F,6.4,iO8dZS4nWR,10/9/2025,42,v=F;i=836;s=42;l=6.4
837,F,8.9,UZ26ZFpq0G,12/23/2025,204,s=204;l=8.9;v=F;i=837
838,F,7.9,vOt830Qtva,10/29/2025,147,i=838;s=147;v=F;l=7.9
839,F,9.7,GuCsF89LrC,11/19/2025,170,l=9.7;s=170;v=F;i=839
840,F,8.3,8bOL6WGEwf,6/26/2025,234,v=F;l=8.3;s=234;i=840
841,T,9.7,LGsJPtuwYv,9/11/2025,117,i=841;s=117;v=T;l=9.7
842,T,8,73Qe1ORybR,9/5/2025,159,i=842;s=159;l=8.0;v=T
843,F,8.2,zopL7pRVyO,6/30/2025,77,s=77;v=F;l=8.2;i=843
844,F,7.2,Yw3So4i5uF,8/18/2025,224,v=F;i=844;s=224;l=7.2
845,F,8.9,PGPaH5TvZ5,7/22/2025,95,v=F;i=845;s=95;l=8.9
846,T,9.7,RCkrE91qqI,8/26/2025,109,i=846;l=9.7;v=T;s=109
847,F,5.7,AgNlYDKpI9,11/30/2025,35,i=847;v=F;s=35;l=5.7
848,F,9.8,U3ulPmHSXL,12/29/2025,212,v=F;s=212;i=848;l=9.8
849,F,9.4,vTNPU0RNiR,10/16/2025,48,l=9.4;i=849;v=F;s=48
850,T,9.7,VhPFsyzPya,10/4/2025,83,s=83;i=850;v=T;l=9.7
851,T,9.1,SLyaQxuIxB,10/30/2025,43,i=851;v=T;l=9.1;s=43
852,F,7.5,8KMteeE58k,10/26/2025,122,s=122;v=F;l=7.5;i=852
853,F,9.3,xI7PU6tHjO,11/19/2025,97,s=97;l=9.3;i=853;v=F
854,F,10.4,uJyQZu02gR,11/2/2025,114,i=854;l=10.4;v=F;s=114
855,F,9.1,xRlf347iV0,10/17/2025,135,l=9.1;i=855;s=135;v=F
856,T,10.6,c1ap7NTNTA,12/27/2025,124,l=10.6;i=856;v=T;s=124
857,T,7.3,7Aqziy37EZ,11/17/2025,152,s=152;v=T;i=857;l=7.3
858,T,9.2,CZgk6GXmdE,7/19/2025,145,l=9.2;i=858;s=145;v=T
859,F,9.6,mLaV7qFZcr,11/21/2025,154,v=F;l=9.6;s=154;i=859
860,T,10.8,6jDband5Nf,12/20/2025,41,l=10.8;s=41;i=860;v=T
861,F,8.7,8xqGHMbCZS,8/9/2025,249,i=861;l=8.7;v=F;s=249
862,F,9.3,tlUHy2TUud,7/16/2025,103,s=103;i=862;v=F;l=9.3
863,F,6.8,z4ZrzAzk19,7/26/2025,210,v=F;l=6.8;s=210;i=863
864,T,9.7,Yu461QxdOg,11/5/2025,227,i=864;v=T;l=9.7;s=227
865,F,9.8,GTvKvCuKrF,7/5/2025,124,i=865;v=F;s=124;l=9.8
866,F,7.8,DCTPJpAtpC,11/17/2025,250,v=F;i=866;s=250;l=7.8
867,F,9.3,W9HQHchlXi,8/1/2025,147,i=867;v=F;s=147;l=9.3
868,T,8.2,BzyPEZqbpw,7/17/2025,193,l=8.2;i=868;v=T;s=193
869,F,6.3,mwa8L29pyC,8/3/2025,41,s=41;i=869;l=6.3;v=F
870,T,8.1,FR2mVGCZvP,12/22/2025,119,i=870;l=8.1;v=T;s=119
871,T,9.2,7mia84fNDt,12/26/2025,113,l=9.2;i=871;v=T;s=113
872,F,6.2,WXSlav8tX7,11/3/2025,52,l=6.2;i=872;v=F;s=52
873,T,8,hiIi5KYwaA,8/16/2025,48,v=T;l=8.0;s=48;i=873
874,T,10.4,hTemlwq5vd,7/7/2025,220,v=T;l=10.4;s=220;i=874
875,T,6.4,8ePb7VyqOC,6/28/2025,121,s=121;l=6.4;v=T;i=875
876,F,9.4,phTJhw8uYC,12/22/2025,38,v=F;s=38;i=876;l=9.4
877,T,6.6,iQS7iHIMvq,12/25/2025,86,i=877;l=6.6;s=86;v=T
878,F,7.2,cXOEs8Ispj,8/9/2025,117,s=117;i=878;v=F;l=7.2
879,F,6.5,YJ8oGccCtm,11/6/2025,190,l=6.5;s=190;i=879;v=F
880,F,8.2,ucrLMnvQzB,10/30/2025,160,s=160;l=8.2;v=F;i=880
881,T,8.2,eBNa6vXpbk,10/18/2025,54,l=8.2;i=881;v=T;s=54
882,T,7,upanZSKzMP,7/22/2025,74,v=T;s=74;l=7.0;i=882
883,F,8.8,oWAeDyLFSV,9/13/2025,25,v=F;i=883;l=8.8;s=25
884,T,8.6,OOxneVngYW,11/12/2025,229,s=229;l=8.6;v=T;i=884
885,F,10.6,g5ZMqHeZ0s,6/30/2025,205,v=F;l=10.6;s=205;i=885
886,F,5.6,3eDVTYayab,11/16/2025,134,l=5.6;s=134;v=F;i=886
887,F,9,T5au2wV4TS,11/4/2025,242,l=9.0;v=F;s=242;i=887
888,F,10,jHy7VeCEn3,10/9/2025,128,i=888;v=F;l=10.0;s=128
889,F,7.7,3aFoTNYxhC,10/12/2025,33,s=33;l=7.7;v=F;i=889
890,T,7.5,WH6WBb9ceS,9/9/2025,,v=T;l=7.5;i=890;s=97
891,T,10.3,VAnZ7lPDFu,7/15/2025,222,s=222;v=T;l=10.3;i=891
892,F,8.7,SpKVoWBItt,7/18/2025,246,i=892;s=246;l=8.7;v=F
893,T,6.5,zI746KelmR,9/13/2025,220,l=6.5;s=220;i=893;v=T
894,T,6,FDa8I2t9FM,11/20/2025,187,l=6.0;i=894;v=T;s=187
895,T,10.5,QdWJPLE1sI,1/3/2026,57,s=57;i=895;l=10.5;v=T
896,F,7.7,g6gE8tcevJ,11/6/2025,103,s=103;i=896;v=F;l=7.7
897,F,6.9,G7ddoY41Is,6/28/2025,160,l=6.9;v=F;s=160;i=897
898,F,7.8,emUq0PUaxN,12/1/2025,200,l=7.8;i=898;s=200;v=F
899,F,9.2,Bgw6vffQ46,10/10/2025,213,l=9.2;i=899;v=F;s=213
900,F,9.6,b4L1cou7Bi,11/1/2025,211,l=9.6;i=900;v=F;s=211
901,T,8.2,RRfiIPbpSG,8/2/2025,92,s=92;l=8.2;v=T;i=901
902,F,7.8,GUuuZ2ZkOu,8/26/2025,29,s=29;i=902;v=F;l=7.8
903,T,5.8,b3ZTo39Wlg,12/25/2025,145,l=5.8;v=T;s=145;i=903
904,F,8.2,qaXKPdct6p,11/24/2025,49,l=8.2;v=F;s=49;i=904
905,T,8,lRnDScunhl,10/20/2025,108,i=905;s=108;l=8.0;v=T
906,F,7.3,sHEz48MBIP,7/29/2025,189,l=7.3;i=906;v=F;s=189
907,T,8.5,eyCiPnArwD,10/16/2025,108,s=108;i=907;l=8.5;v=T
908,T,10.6,eNcWZZTx68,12/24/2025,10,v=T;l=10.6;s=10;i=908
909,T,7.3,nP9rQTKxnZ,8/23/2025,21,i=909;l=7.3;s=21;v=T
910,T,8.1,kbERLh4VJu,11/29/2025,,l=8.1;i=910;v=T;s=195
911,T,8.8,1rknQPFQ4i,10/29/2025,168,l=8.8;i=911;s=168;v=T
912,T,10.5,qHZb55hP8f,8/24/2025,122,v=T;s=122;i=912;l=10.5
913,F,10.3,vLRZdhuZXb,9/4/2025,106,l=10.3;v=F;i=913;s=106
914,T,5.7,KqPR20f07G,11/3/2025,163,v=T;l=5.7;i=914;s=163
915,F,6.5,8Ytrifhq67,7/6/2025,26,s=26;v=F;i=915;l=6.5
916,T,9,BrdBnm5C5h,12/25/2025,229,v=T;s=229;i=916;l=9.0
917,F,8.2,btCH0tXo0q,7/7/2025,79,i=917;s=79;l=8.2;v=F
918,T,6.5,c9NkFYUhVo,12/8/2025,54,v=T;l=6.5;s=54;i=918
919,F,6.5,W8fo6d8Pyc,11/3/2025,25,i=919;l=6.5;s=25;v=F
920,F,6.8,wxlYdlbMyI,8/27/2025,176,s=176;v=F;i=920;l=6.8
921,F,10.7,uo8T7Efbug,7/9/2025,250,l=10.7;i=921;v=F;s=250
922,F,9.6,f8QNHgyvq4,11/2/2025,93,l=9.6;v=F;i=922;s=93
923,F,6.3,AQYGGMt3yC,7/9/2025,167,l=6.3;i=923;s=167;v=F
924,T,7.8,F6FTs1qojV,11/24/2025,139,l=7.8;s=139;v=T;i=924
925,T,10.9,2CA4bzwOOV,8/9/2025,70,l=10.9;v=T;i=925;s=70
926,F,9,hhNYESEDRt,11/25/2025,170,i=926;l=9.0;s=170;v=F
927,F,7,9RQTQCconw,8/2/2025,135,v=F;l=7.0;s=135;i=927
928,T,6.6,w2tTF9pLTl,10/4/2025,179,i=928;v=T;l=6.6;s=179
929,T,10.2,IyIHFwgN5x,10/17/2025,16,i=929;v=T;l=10.2;s=16
930,F,7.2,ipggX0MJuk,8/18/2025,240,l=7.2;i=930;v=F;s=240
931,F,5.9,tGoAHhL9iW,8/8/2025,51,v=F;i=931;l=5.9;s=51
932,F,6.6,8eaIOXDND4,6/29/2025,72,v=F;s=72;i=932;l=6.6
933,T,6.7,v1cR7YYlpC,7/14/2025,188,l=6.7;s=188;v=T;i=933
934,T,10.8,L0A9mYCSbM,7/24/2025,28,v=T;s=28;l=10.8;i=934
935,T,9.9,pD5g3Dd9pk,9/13/2025,113,l=9.9;s=113;v=T;i=935
936,F,6.7,tysQl8j3yB,10/22/2025,206,s=206;v=F;i=936;l=6.7
937,T,8.2,wfBHftnqsf,10/20/2025,74,l=8.2;v=T;s=74;i=937
938,F,9.3,ga47vM8xvy,8/11/2025,198,l=9.3;s=198;v=F;i=938
939,T,10.1,ysc9mvgrvL,6/28/2025,213,v=T;l=10.1;s=213;i=939
940,F,9.4,8Bvn1BmHde,1/1/2026,128,i=940;v=F;s=128;l=9.4
941,F,5.8,EA1pilU183,12/17/2025,245,l=5.8;i=941;v=F;s=245
942,F,10.7,TpQ95XOUvt,12/30/2025,233,i=942;v=F;l=10.7;s=233
943,F,9.3,gKRD2ctoAw,12/7/2025,211,v=F;l=9.3;i=943;s=211
944,F,10.7,F9O0yXmLYj,12/8/2025,186,i=944;v=F;l=10.7;s=186
945,F,,jVhvG7i3AS,7/4/2025,220,l=7.3;v=F;i=945;s=220
946,F,8.8,iltRtLVu1b,10/1/2025,85,l=8.8;v=F;i=946;s=85
947,T,10.7,2Ix8PdnvXO,11/30/2025,75,v=T;i=947;s=75;l=10.7
948,F,9.3,ekF017Jy2P,10/7/2025,195,s=195;i=948;l=9.3;v=F
949,F,7.9,zfpf3WUjGD,11/14/2025,20,s=20;l=7.9;i=949;v=F
950,T,7.4,AzIoFCsZKa,12/4/2025,,s=54;v=T;l=7.4;i=950
951,F,9.9,lDiQsusBcf,8/29/2025,173,i=951;l=9.9;v=F;s=173
952,T,6.3,omcmsjq29R,10/27/2025,65,v=T;i=952;l=6.3;s=65
953,F,9.9,ctjzH5I3sQ,12/7/2025,124,i=953;l=9.9;v=F;s=124
954,T,8.8,EgeNnRGsds,7/23/2025,241,i=954;l=8.8;v=T;s=241
955,T,8.2,jcsq01As8p,7/26/2025,40,i=955;s=40;l=8.2;v=T
956,F,10.5,nJy82m1IQC,11/7/2025,90,i=956;s=90;l=10.5;v=F
957,F,8.8,7QMzbsDx4R,11/15/2025,114,s=114;l=8.8;i=957;v=F
958,F,10,FFw6MLw1GC,12/30/2025,194,v=F;l=10.0;i=958;s=194
959,T,6.1,lIC5n2lJp8,9/26/2025,162,i=959;v=T;l=6.1;s=162
960,F,10.2,gFpXg50Bkr,12/3/2025,239,v=F;i=960;l=10.2;s=239
961,T,9.1,LPqPPHAGlf,12/10/2025,227,s=227;l=9.1;i=961;v=T
962,F,8.5,nUOwc9xCoI,10/16/2025,77,i=962;v=F;l=8.5;s=77
963,F,7.1,gbkGIINKLY,10/13/2025,148,l=7.1;i=963;v=F;s=148
964,F,8.5,X3upVqtAa4,9/22/2025,110,s=110;l=8.5;i=964;v=F
965,F,8.3,agfj69IOk7,10/29/2025,103,i=965;v=F;l=8.3;s=103
966,F,6.8,rJ3aMMjB1y,12/14/2025,114,v=F;s=114;l=6.8;i=966
967,F,5.7,lUBo1qsQYW,7/9/2025,63,v=F;i=967;l=5.7;s=63
968,T,9.8,ife2d5bPwX,8/2/2025,190,l=9.8;s=190;i=968;v=T
969,T,6.7,Gj6NCtskTk,12/18/2025,11,v=T;l=6.7;i=969;s=11
970,F,6.1,2GyvjGXGZd,11/26/2025,32,s=32;i=970;l=6.1;v=F
971,F,7.6,PnYUCo7jDD,7/1/2025,170,l=7.6;v=F;i=971;s=170
972,T,8.4,o3cSV1Ms7p,8/17/2025,54,v=T;s=54;l=8.4;i=972
973,T,8.6,PGEsCYiySe,6/30/2025,2,v=T;l=8.6;s=2;i=973
974,F,7.2,RyGq1qowzm,12/30/2025,85,l=7.2;v=F;s=85;i=974
975,F,5.8,gRt6Nb5TH0,11/26/2025,223,l=5.8;i=975;s=223;v=F
976,F,9.4,06oQ8W4n1v,7/26/2025,24,s=24;i=976;l=9.4;v=F
977,T,10.7,q2PO1mHVCh,9/11/2025,192,l=10.7;s=192;i=977;v=T
978,F,7.6,pfrAUnzE03,1/5/2026,188,i=978;l=7.6;s=188;v=F
979,T,9.3,qu9wfQWsrc,7/30/2025,37,v=T;s=37;i=979;l=9.3
980,F,9.8,pxK6mtMCOJ,8/10/2025,176,v=F;s=176;l=9.8;i=980
981,T,10.8,455l3EDVWb,11/15/2025,208,l=10.8;s=208;i=981;v=T
982,T,9.4,nc4jcOiU7c,7/14/2025,55,v=T;s=55;i=982;l=9.4
983,T,9.2,4Ul0MISkIl,8/1/2025,66,l=9.2;i=983;s=66;v=T
984,F,10.7,Vs6zJrPe4D,11/9/2025,3,s=3;l=10.7;i=984;v=F
985,T,10.7,rabGLnipEP,9/27/2025,24,l=10.7;s=24;i=985;v=T
986,T,8,92EfEXaNo2,10/16/2025,63,i=986;v=T;l=8.0;s=63
987,F,9.7,866S9PHdhE,11/29/2025,34,s=34;l=9.7;v=F;i=987
988,T,7,ZunPHDMVLd,12/7/2025,153,s=153;i=988;v=T;l=7.0
989,T,10.4,XuZ6Wfwl4N,9/4/2025,20,l=10.4;i=989;v=T;s=20
990,F,10,6FrdzZtsGR,9/6/2025,132,i=990;l=10.0;s=132;v=F
991,F,7.5,E8WH2PrRr6,9/23/2025,195,i=991;s=195;l=7.5;v=F
992,F,6.2,330IK06DAB,12/31/2025,123,i=992;v=F;l=6.2;s=123
993,T,8,xA3aLZUC7H,12/17/2025,30,s=30;l=8.0;i=993;v=T
994,F,5.7,SpRyhFRe7z,9/29/2025,123,v=F;l=5.7;s=123;i=994
995,F,9,WU1mr8fOWo,9/24/2025,97,v=F;l=9.0;s=97;i=995
996,T,6.3,nBByrn9i5V,11/2/2025,138,v=T;s=138;l=6.3;i=996
997,T,9,lFeuMBpR1j,10/30/2025,114,s=114;v=T;l=9.0;i=997
998,F,8.4,YBYvZwHC7O,7/10/2025,64,i=998;v=F;l=8.4;s=64
999,T,10.6,1Z80czbzRT,7/4/2025,217,s=217;v=T;l=10.6;i=999
